Self-Reported Gross Floor Area (ft²),,,,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water Use Intensity (All Water Sources) (gal/ft²),log_Water Use Intensity (All Water Sources) (gal/ft²),score
883148,,,,339,339.3,23.29,3.148024084,42
1154154,,,,674.8,677.7,36.07,3.585461495,32
89580,,,,173.3,180.7,61.52,4.119362325,10
257181,,,,80,82,73.01,4.290596418,96
62838,,,,261.1,271,109.94,4.699934762,1
60153,,,,190,195.3,102.29,4.627811916,5
150965,,,,185.9,187.8,71.72,4.272769649,17
83623,,,,142.8,150.4,56.19,4.028738805,77
27978,,,,157.6,163.2,64.4,4.165113633,19
223282,,,,99.6,101.3,30.8,3.42751469,79
70000,,,,235,240.1,121.08,4.796451484,42
75852,,,,59.8,63.5,73.42,4.296196378,100
58810,,,,132.2,142.3,106.2,4.665324109,43
31550,,,,68.6,69.7,73.28,4.29428772,99
32010,,,,81.1,82.1,128.53,4.85616234,95
86442,,,,148.8,154.8,138.21,4.928774268,39
59600,,,,142.4,148,118.47,4.774659764,38
52830,,,,177.7,184.5,193.09,5.263156401,21
52200,,,,138.7,144.4,122.77,4.810312686,50
53400,,,,148.9,154.3,76.47,4.336898507,35
53760,,,,156.9,162.7,129.96,4.867226711,29
50800,,,,134,133.7,115.77,4.751605464,36
55650,,,,151.8,156.4,84.78,4.440059666,15
71500,,,,428.8,431.1,28.17,3.338257582,79
144925,,,,209.1,213.9,18.9,2.939161922,67
36274,,,,135.6,143,46.65,3.842672927,42
49150,,,,95.9,100.8,33.31,3.505857652,86
231664,,,,278.8,280.4,11.05,2.402430428,32
33405,,,,86.2,90.1,46.38,3.836868332,74
256272,,,,142.6,144.2,13.69,2.616665639,90
328910,,,,155.8,158.5,14.32,2.661657162,88
410295,,,,207.4,211.2,19.23,2.95647156,70
329991,,,,194.3,195.9,13.28,2.586259144,77
342387,,,,210.3,212.3,11.54,2.445819261,71
370441,,,,260.5,261.2,18.01,2.890927159,86
752000,,,,165.6,169.1,18.44,2.914522218,87
147026,,,,118.9,118.8,36.06,3.585184218,58
230404,,,,112.7,117.8,39.73,3.68210657,70
112565,,,,93.4,92.9,28.31,3.343215099,72
135251,,,,89.3,95.5,32.79,3.490123591,90
254629,,,,100.3,105.3,36.19,3.588782838,66
121950,,,,96.6,100.1,29.07,3.369706715,82
488747,,,,119.3,123.5,34.99,3.555062306,43
159477,,,,60.7,64.3,23.18,3.143289838,99
104225,,,,171.5,173.3,21.86,3.084658483,9
118992,,,,118.9,126.4,0,2.142,70
176600,,,,345.7,343,32.82,3.491038086,9
115429,,,,96.2,101.6,75.76,4.327570449,88
59000,,,,43.7,43.4,74.39,4.309321524,100
108000,,,,47,47.7,63.19,4.146146061,100
50000,,,,217.5,226.1,59.35,4.083452121,1
37500,,,,107.2,107.2,13.41,2.596000697,91
38744,,,,125.7,132.1,91.82,4.519830139,65
31015,,,,224.8,236.7,73.18,4.29292216,19
34809,,,,184.5,188.4,53.77,3.984715691,4
52490,,,,131,138.7,63.1,4.14472077,46
29762,,,,146.8,151.8,4.91,1.591273942,67
63966,,,,135.7,142.6,49.69,3.905803706,78
111861,,,,171.1,178.4,76.05,4.331391019,22
149804,,,,125.9,131.7,47.74,3.865769621,49
173646,,,,97.7,101.4,24.65,3.2047769,58
30200,,,,103.1,111.4,9.03,2.200552367,61
175000,,,,81.9,87.4,28.9,3.363841595,88
175000,,,,83.9,89.6,31.74,3.457577715,86
175000,,,,83.9,88.5,28.93,3.364879119,86
92782,,,,93,98.8,44.51,3.795713883,100
62412,,,,113.9,122.3,48.81,3.88793521,74
90447,,,,86.6,94.1,49.6,3.903990834,96
8980,,,,105.6,105.5,40.98,3.713084143,41
43340,,,,94.4,100.1,66.18,4.192378302,84
31125,,,,279.5,289.7,150.31,5.012699828,2
34535,,,,120.4,125.8,63.27,4.147411283,84
30020,,,,107.4,111.4,73.66,4.299459911,87
35160,,,,101.3,104.3,48.79,3.887525374,98
29214,,,,105.9,110.8,76.25,4.334017415,97
151710,,,,114.1,117.6,61.88,4.125197026,74
73800,,,,122.1,129.1,66.68,4.199905058,78
94744,,,,83.7,89.5,47.03,3.850785696,91
27500,,,,137.6,149.1,31.45,3.448398983,8
21407,,,,208.6,211.1,181.54,5.201476015,4
38600,,,,49.7,49.7,6.13,1.81319475,100
38160,,,,315,319,143.59,4.966962016,1
885474,,,,193.9,193.9,18.09,2.895359299,52
1869756,,,,185.5,192.2,26.12,3.262701304,82
1436950,,,,201.4,206.2,18.25,2.90416508,74
479500,,,,201.9,209.4,2.35,0.854415328,20
956015,,,,130.1,134.1,8.57,2.148267733,61
77600,,,,132.7,132.7,11.06,2.403334996,82
409473,,,,207.5,216.2,13.55,2.606386547,36
41700,,,,182,192.8,9.86,2.288486169,70
72278,,,,179.7,190.1,7.55,2.021547563,52
78944,,,,269.8,279.2,2.83,1.040276712,35
36840,,,,261.4,272.5,6.29,1.838961071,60
274340,,,,133.9,133.9,5.86,1.768149604,56
50000,,,,43.6,43.6,0,2.142,100
90000,,,,77.8,81.1,194.45,5.270175061,99
71539,,,,205,213.7,76.67,4.339510498,59
27048,,,,76.6,76.8,37.5,3.624340933,99
54775,,,,5,5,42.74,3.75513525,100
61752,,,,470.4,470.4,38.12,3.640739079,3
76206,,,,193.2,197,30.72,3.424913908,6
281627,,,,210.2,215.6,12.09,2.492378665,61
154340,,,,173.1,180.1,14.61,2.681706226,76
91212,,,,146,148.7,25.24,3.228430038,79
104990,,,,123.8,128.2,9.05,2.202764758,90
159980,,,,113.9,122.8,12.29,2.508785924,92
67365,,,,248.9,263.2,87.83,4.475403128,36
19954,,,,166.4,170.3,11.06,2.403334996,62
248788,,,,139.9,145.6,67.74,4.215676847,24
169614,,,,167.8,171.6,16.25,2.788092909,4
138244,,,,111.1,115,27.58,3.317090872,51
106176,,,,113.6,119,22.2,3.100092289,60
47531,,,,154,157.4,44.92,3.80488313,29
54940,,,,107.4,110.1,35.69,3.574870538,74
120231,,,,100.6,104.5,23.39,3.152308581,88
96038,,,,95.2,99.9,24.17,3.185112195,80
127460,,,,112.3,112.4,29.37,3.379973745,75
162631,,,,96.8,101.7,24.43,3.195811885,95
78080,,,,170.6,173.5,14.43,2.669309373,43
74018,,,,148.9,155.4,33.62,3.515121128,43
107645,,,,124.6,123.4,20.26,3.008648499,82
100247,,,,112.6,112.8,26.31,3.269949095,76
155819,,,,127.7,130.5,32.62,3.484925597,23
196547,,,,98.4,103,22.47,3.112181086,87
81851,,,,123.4,128.7,61.17,4.113656873,50
56871,,,,99.4,101.2,29.06,3.369362658,92
197056,,,,98,96.9,17.5,2.862200881,99
99272,,,,101.5,106.1,20.53,3.021887231,79
128000,,,,57.6,56.8,20.59,3.024805521,100
98766,,,,64.8,64.5,24.55,3.200711854,100
111568,,,,232.4,235.1,24.92,3.215670694,3
842592,,,,223.9,225.7,23.96,3.176385773,1
150572,,,,115.9,115,26.64,3.282413846,35
141771,,,,120.1,123.8,28.39,3.34603697,65
158022,,,,107.6,110.5,26.95,3.293983297,87
93360,,,,103.9,108.5,24.17,3.185112195,84
94078,,,,193,193.7,24.74,3.208421367,3
248000,,,,84.9,90,19.37,2.963725477,92
152899,,,,106.2,107.6,24.9,3.214867803,95
191306,,,,130.9,131.1,79.99,4.381901627,45
150000,,,,118.3,122.4,19.77,2.984165637,28
82291,,,,121.3,123.4,23.05,3.137665769,60
183090,,,,109.5,116.9,21.58,3.07176696,91
95944,,,,102,106.4,32.94,3.494687725,73
184000,,,,114.3,119.3,28.08,3.335057579,93
124109,,,,118.1,123.3,21.92,3.087399462,62
70000,,,,100,99.3,45.45,3.816612821,86
199858,,,,125.5,130.9,22.06,3.093766014,76
113599,,,,109.1,111.8,34.16,3.531055369,73
130864,,,,108.8,108.8,21.85,3.084200922,85
110150,,,,123.9,123,23.81,3.17010566,43
123237,,,,132.4,135.2,44.04,3.785098312,58
78500,,,,72.9,75.6,17.31,2.851284369,99
153190,,,,151.2,153.2,25.96,3.256556892,24
83200,,,,161.4,167.1,33.19,3.502248626,5
152350,,,,126.4,127.7,41.75,3.731699451,47
114300,,,,158.2,162.9,31.9,3.46260601,28
137398,,,,103.8,109.5,18.3,2.90690106,43
135000,,,,115.8,120.2,20.1,3.000719815,58
157457,,,,143.4,146.3,22.89,3.130700134,100
91361,,,,130,130.9,31.1,3.437207819,21
507774,,,,111.4,111.4,20.66,3.028199464,69
334854,,,,114.7,118.2,47.53,3.861361091,56
178245,,,,97.5,102.3,19.91,2.991222118,78
75345,,,,127,131.8,35.71,3.575430762,59
449668,,,,113,115,37.84,3.633366744,39
248545,,,,55.4,54.5,17.74,2.875821977,99
139000,,,,81.8,80.9,14.18,2.651832521,92
480278,,,,120.6,120.8,28.13,3.336836623,42
233500,,,,102.7,104.3,30.09,3.404192891,85
73495,,,,123.4,123.1,24.28,3.189652966,29
59124,,,,106.3,105.5,6.79,1.915450942,51
76150,,,,60.9,60.1,18.74,2.930660277,99
165728,,,,93.1,97.8,21.74,3.079153882,86
131835,,,,112.3,118,28.84,3.361763312,88
287000,,,,195.5,194.4,62.36,4.132924044,27
187500,,,,313.4,315.6,22.92,3.132009892,1
212500,,,,92.7,97.7,28.83,3.361416512,72
54192,,,,183.6,182.2,137.61,4.924423597,19
86422,,,,104.3,111.2,29.31,3.377928755,89
66800,,,,174,180.8,88.03,4.477677665,3
77740,,,,139.1,137.9,169.87,5.135033439,17
197688,,,,146.4,151.1,8.56,2.14710019,86
61000,,,,175.6,178,16.03,2.774461967,60
67132,,,,174.5,174.6,44.44,3.794139965,7
62695,,,,119.8,124.6,43.93,3.782597458,55
316832,,,,208.5,218.3,0.31,-1.171182982,68
89614,,,,168.6,175.7,25.33,3.231989464,34
60366,,,,160.8,164.2,111.61,4.715010652,47
70700,,,,177.8,181.3,200.54,5.301013728,37
138363,,,,234.5,236.6,29.09,3.370394473,80
64230,,,,137.1,141.9,37.25,3.617651945,23
58469,,,,95.5,101.7,32.84,3.491647285,83
59570,,,,117.9,122.4,42.4,3.747148362,59
70000,,,,140.9,148.6,51.94,3.950089206,39
133990,,,,125.2,131.7,60.7,4.105943698,55
133990,,,,125.2,131.7,60.7,4.105943698,55
68821,,,,46.9,46.9,28.55,3.351656936,100
54968,,,,291.3,292.2,39.8,3.683866912,20
65730,,,,174.4,176.1,26.33,3.270708974,71
61568,,,,41.7,41.9,26.65,3.282789151,100
52225,,,,111.7,120.5,81.22,4.397161522,75
75230,,,,145.2,144.6,70.39,4.254051208,21
62000,,,,215.8,221,141.37,4.951380567,70
76670,,,,101.4,107.7,37.77,3.631515137,89
75494,,,,149.3,161.3,121.04,4.796121069,43
90944,,,,116.8,121.3,56.55,4.035125203,77
74000,,,,81.2,86.4,5.3,1.667706821,74
194300,,,,142.9,147.1,70.17,4.250920869,46
236350,,,,165.3,162.6,39.46,3.675287501,5
53000,,,,56.5,57.8,4.29,1.456286733,59
99750,,,,111.1,114.4,2.07,0.727548607,11
167272,,,,14.6,15.2,1.59,0.463734016,97
57653,,,,139.1,145.6,14.3,2.660259537,83
50720,,,,113.7,118.5,3.76,1.324418957,43
79990,,,,113,118.9,46.81,3.846096855,35
50925,,,,120.2,124.6,46.59,3.841385926,27
140037,,,,50.4,52.4,26.11,3.262318383,100
58191,,,,130.5,131.7,94.45,4.548070594,39
53980,,,,115.3,121.3,57.75,4.056123349,59
57850,,,,132.3,132,103.39,4.638508246,44
52500,,,,119,118.8,77.14,4.345621953,58
50500,,,,123,128.3,89.06,4.4893103,44
51380,,,,63.5,63.9,109.89,4.699479865,98
61700,,,,123.5,127.2,61.42,4.117735515,54
213980,,,,214,216.1,9.67,2.269028309,24
139450,,,,160.5,166.5,48.69,3.88547367,61
60000,,,,124.6,128.2,5.63,1.728109442,80
323725,,,,148.3,152,48.78,3.887320393,53
60158,,,,40.9,40.9,72.35,4.281515453,100
48608,,,,46.7,46.7,57.45,4.050915004,100
49015,,,,22.1,22.1,50.63,3.924544286,100
74328,,,,4.6,4.6,27.36,3.309082093,100
50120,,,,0.3,0.3,0.3,-1.203972804,100
49668,,,,2.1,2.1,40.51,3.701548857,100
42128,,,,7.9,7.5,21.93,3.087855562,100
140056,,,,102.7,102.7,30.08,3.403860499,86
83131,,,,0,0,15.97,2.770711962,100
89091,,,,23.3,22.4,28.75,3.358637767,100
88332,,,,170.8,188.1,120.73,4.793556647,56
58750,,,,6.8,6.4,22.35,3.106826321,100
52740,,,,12.9,12.9,24.42,3.195402469,100
54100,,,,6.9,6.9,135.47,4.908750214,100
228106,,,,59.3,67.1,4.56,1.517322624,100
58860,,,,13.2,13.3,32.18,3.471345142,100
135625,,,,45.3,50.4,32.28,3.474447843,100
176125,,,,110.8,110.8,23.2,3.144152279,56
124458,,,,98.3,105,47.21,3.854605735,63
87260,,,,11.1,11.1,62.37,4.133084391,100
60104,,,,145.7,166.7,40.69,3.705982362,56
62334,,,,88.5,98.2,66.71,4.200354867,84
56423,,,,97.6,108.2,58.45,4.068171688,76
50916,,,,12.5,12.7,37.8,3.632309103,100
53418,,,,87.1,97.6,49.73,3.906608373,85
57760,,,,45.3,52.1,38.15,3.641525758,100
50292,,,,15.7,16,52.49,3.960622675,100
56700,,,,0.3,0.3,15.21,2.721953106,100
188572,,,,9.4,9.6,44.89,3.804215053,100
113232,,,,69.2,77.4,60.51,4.102808641,97
201406,,,,30.4,30.4,44.66,3.799078246,100
92046,,,,67,66.3,50.48,3.921577218,96
63480,,,,95.5,107.1,44.13,3.787139823,76
242697,,,,0,0,24.12,3.183041372,100
57300,,,,11.5,11.2,39.62,3.679334041,100
53676,,,,10.4,10.4,47.59,3.862622655,100
72222,,,,12.5,12.6,27.94,3.330059354,100
54138,,,,4.7,4.7,70.9,4.261270434,100
62500,,,,84.5,88.3,38.24,3.643882088,94
52700,,,,107.9,114,70.98,4.262398147,61
66990,,,,104.3,108.8,81.11,4.395806258,74
76514,,,,123.6,129.8,57.48,4.051437061,60
154244,,,,146.9,152.7,124.03,4.820523472,25
53044,,,,158.5,158.8,88.75,4.485823428,18
166315,,,,144.6,149.4,4.23,1.442201993,85
360946,,,,77.5,79.3,6.8,1.916922612,99
499340,,,,139.5,137.2,12.21,2.502255288,90
78894,,,,219,223.7,10.67,2.367436065,52
121731,,,,222.1,226,11.01,2.398803951,49
136026,,,,230.4,235.8,0.08,-2.525728644,45
138741,,,,259.9,269.7,6.29,1.838961071,38
125460,,,,175.2,177.5,3.29,1.190887565,63
133137,,,,202.2,204.4,5.27,1.662030363,52
116592,,,,200.5,203.5,6.89,1.930071085,57
135743,,,,165.3,167.7,6.9,1.931521412,69
115459,,,,179.5,177.7,24.67,3.205587931,65
100944,,,,205.3,208.4,11.41,2.434490164,54
75000,,,,21.5,22.4,83.33,4.422808628,100
225990,,,,121.5,129.2,63.86,4.156693187,60
234450,,,,111.6,118.2,42.64,3.75279278,51
69200,,,,296.4,299.8,102.57,4.630545492,26
55301,,,,113.4,113.3,33.7,3.517497837,60
50200,,,,103.2,103.5,51.67,3.944877342,84
99169,,,,76.8,81.1,38.88,3.66047998,99
99169,,,,101.3,106.1,38.88,3.66047998,71
81735,,,,121.6,128.7,60.91,4.109397365,44
172270,,,,107.7,116.6,43.71,3.777576909,73
349345,,,,102,107.5,32.87,3.492560388,47
184850,,,,210.2,217.8,36.69,3.602504238,1
184850,,,,210.2,217.8,36.69,3.602504238,1
184850,,,,210.2,217.8,36.69,3.602504238,1
104018,,,,237.7,236.1,28.58,3.352707173,18
151710,,,,114.1,117.6,61.88,4.125197026,74
94744,,,,83.7,89.5,47.03,3.850785696,91
73800,,,,122.1,129.1,66.68,4.199905058,78
27500,,,,137.6,149.1,31.45,3.448398983,8
21407,,,,208.6,211.1,181.54,5.201476015,4
62157,,,,95.6,95.3,28.94,3.365224721,81
154451,,,,116.7,119.3,46.94,3.84887019,52
876500,,,,48.4,48.4,78.88,4.36792771,100
133333,,,,243.9,247.4,2250.01,7.71868994,14
352951,,,,343.1,346.4,36.02,3.58407434,50
352951,,,,343.1,346.4,36.02,3.58407434,50
876500,,,,48.4,48.4,78.88,4.36792771,100
216000,,,,114,117.3,46.85,3.846951009,67
58027,,,,159.8,163,99.72,4.602366259,58
56547,,,,113.9,119.6,46.2,3.832979798,71
138761,,,,77.1,81,54.14,3.991573284,97
67638,,,,111,117.5,53.4,3.977810746,73
67200,,,,95.7,99.3,36.39,3.594294012,82
71326,,,,92.6,97,60.22,4.098004523,94
61650,,,,106,110.4,90.27,4.502805179,80
53853,,,,113,117.8,65.33,4.179451349,68
66300,,,,116,122.5,65.77,4.186163807,69
83000,,,,85.8,90.1,42.31,3.745023465,93
73713,,,,133.8,139.3,161.91,5.087040625,51
74250,,,,58.5,61.6,38.81,3.658677945,99
26331,,,,87.9,89.3,49.92,3.910421724,86
58000,,,,112.2,116,74.79,4.314684186,73
32763,,,,117.2,123.8,83.04,4.419322419,49
31757,,,,169.3,173.7,75.07,4.318421012,18
209730,,,,178.6,182.5,28.61,3.353756307,12
143425,,,,122,124.2,68.44,4.225957449,8
91045,,,,227.5,228.9,111.22,4.711510222,1
63263,,,,231.2,232.6,73.53,4.297693486,1
31082,,,,339.1,353.8,31.94,3.463859143,1
92538,,,,108.9,115.2,43.72,3.777805663,58
92538,,,,108.9,115.2,43.72,3.777805663,58
65000,,,,159.3,169.9,101.41,4.619171706,10
92538,,,,108.9,115.2,43.72,3.777805663,58
67155,,,,161.6,163.7,49.21,3.896096855,8
50000,,,,113,118,54.95,4.006423681,43
32409,,,,46.6,46.6,43.16,3.76491414,100
196200,,,,130.6,133.3,118.72,4.776767779,49
123910,,,,160.9,167.1,34.73,3.547603867,17
61664,,,,280.9,289.3,73.21,4.293332024,1
28430,,,,77.9,78.7,32.23,3.472897696,93
253563,,,,142.6,142.2,19.02,2.945491057,87
67262,,,,109.2,113.8,36.46,3.596215769,75
60158,,,,40.9,40.9,72.35,4.281515453,100
48608,,,,46.7,46.7,57.45,4.050915004,100
49015,,,,22.1,22.1,50.63,3.924544286,100
74328,,,,4.6,4.6,27.36,3.309082093,100
50120,,,,0.3,0.3,0.3,-1.203972804,100
140056,,,,102.7,102.7,30.08,3.403860499,86
89091,,,,23.3,22.4,28.75,3.358637767,100
49668,,,,2.1,2.1,40.51,3.701548857,100
42128,,,,7.9,7.5,21.93,3.087855562,100
88332,,,,170.8,188.1,120.73,4.793556647,56
54100,,,,6.9,6.9,135.47,4.908750214,100
83131,,,,0,0,15.97,2.770711962,100
228106,,,,59.3,67.1,4.56,1.517322624,100
58750,,,,6.8,6.4,22.35,3.106826321,100
52740,,,,12.9,12.9,24.42,3.195402469,100
58860,,,,13.2,13.3,32.18,3.471345142,100
135625,,,,45.3,50.4,32.28,3.474447843,100
176125,,,,110.8,110.8,23.2,3.144152279,56
124458,,,,98.3,105,47.21,3.854605735,63
87260,,,,11.1,11.1,62.37,4.133084391,100
60104,,,,145.7,166.7,40.69,3.705982362,56
56423,,,,97.6,108.2,58.45,4.068171688,76
53418,,,,87.1,97.6,49.73,3.906608373,85
62334,,,,88.5,98.2,66.71,4.200354867,84
50292,,,,15.7,16,52.49,3.960622675,100
57760,,,,45.3,52.1,38.15,3.641525758,100
56700,,,,0.3,0.3,15.21,2.721953106,100
50916,,,,12.5,12.7,37.8,3.632309103,100
188572,,,,9.4,9.6,44.89,3.804215053,100
113232,,,,69.2,77.4,60.51,4.102808641,97
201406,,,,30.4,30.4,44.66,3.799078246,100
92046,,,,67,66.3,50.48,3.921577218,96
63480,,,,95.5,107.1,44.13,3.787139823,76
53676,,,,10.4,10.4,47.59,3.862622655,100
242697,,,,0,0,24.12,3.183041372,100
57300,,,,11.5,11.2,39.62,3.679334041,100
54138,,,,4.7,4.7,70.9,4.261270434,100
72222,,,,12.5,12.6,27.94,3.330059354,100
58260,,,,184.1,189.6,111.94,4.717963013,21
80293,,,,325.1,334.1,155.51,5.046710038,1
87941,,,,108.6,113.7,37.73,3.630455534,75
56000,,,,264.7,268.6,50.63,3.924544286,31
148793,,,,126.1,132.6,47.58,3.862412505,52
80281,,,,105,111.5,46.62,3.842029634,61
76626,,,,143.3,146.2,59.4,4.084294226,26
80678,,,,106,106.2,43.53,3.773450356,83
143554,,,,102.6,107.5,48.69,3.88547367,67
61250,,,,136.2,142.9,42.13,3.740760076,41
127000,,,,203.9,209.8,32.63,3.485232111,72
66750,,,,116.9,121.6,168.24,5.125391531,39
97846,,,,181.2,186.6,169.17,5.130904126,14
92000,,,,141.1,144.6,25.81,3.250762014,16
97000,,,,118.2,123.6,124.74,4.826231571,68
75852,,,,101.1,105.8,62.32,4.132282402,92
50762,,,,106.7,110,74.31,4.308245532,66
55026,,,,153.5,159.5,134.74,4.903346996,30
66960,,,,179.2,182.9,164.21,5.101146097,12
76000,,,,176.8,184.9,138.15,4.928340051,11
27410,,,,204.9,218.5,51.26,3.936910721,4
28900,,,,136.3,144.4,37.99,3.637322967,49
51117,,,,144.5,148.9,130.23,4.869302118,39
177000,,,,77.7,78,20.97,3.043092845,96
490635,,,,117.3,120.3,46.73,3.844386357,85
547356,,,,217.7,220.8,40.95,3.71235181,2
511001,,,,128.5,130.4,48.08,3.87286629,35
36000,,,,276.1,283.7,44.45,3.794364962,77
204417,,,,266.2,275.1,44.21,3.788951008,54
206872,,,,108.6,107.7,35.36,3.565581238,64
56630,,,,125.4,130,37.98,3.637059705,61
165000,,,,222.3,232.3,63.92,4.157632301,38
49408,,,,110.3,113.1,68.72,4.230040278,61
32208,,,,172.1,182.4,18.81,2.934388643,31
27760,,,,341.5,347.4,85.4,4.447346101,1
74000,,,,81.2,86.4,5.3,1.667706821,74
948747,,,,272.6,272.6,2440.79,7.800077036,51
277680,,,,176.1,179,50.48,3.921577218,4
320000,,,,126.6,129.7,41.5,3.725693427,48
151127,,,,129.2,132.6,35.59,3.5720647,63
66000,,,,136.8,140.7,62.58,4.136445738,47
69883,,,,150.9,158.3,79.61,4.377139713,70
159572,,,,180,184,53.13,3.97274174,79
493220,,,,100.6,105.3,39.49,3.676047475,12
94430,,,,155.8,156.5,110.36,4.703747749,29
57380,,,,146.8,147.6,148.57,5.001056228,13
32000,,,,32.4,37.1,2.04,0.712949808,85
139763,,,,259.3,257.4,8.97,2.193885676,34
269231,,,,229.1,227.6,25.64,3.244153632,70
100000,,,,168.9,173.7,56.87,4.040767961,11
67416,,,,136.4,145.1,47.46,3.859887251,27
64068,,,,134.4,136.5,28.66,3.355502422,47
105792,,,,104.2,108.7,99.69,4.602065371,64
88800,,,,237.6,247.6,177.01,5.176206228,10
62130,,,,122.1,126.5,110.36,4.703747749,55
70000,,,,152.3,156.3,143.61,4.967101292,24
51900,,,,84.6,88.5,77.15,4.345751579,74
65100,,,,85.2,90.6,35.04,3.556490266,87
80000,,,,79.8,84.7,29.09,3.370394473,99
66000,,,,100.1,108.1,73.62,4.298916728,77
50000,,,,95,98.6,74,4.304065093,74
67248,,,,132.2,139.6,98.63,4.591375475,31
71856,,,,105.4,110.4,53.47,3.979120749,71
120000,,,,88,87.8,56.9,4.041295341,94
247615,,,,194.1,195.3,49.86,3.909219078,45
56778,,,,121.7,126.4,9.87,2.289499853,27
187588,,,,94.4,101.5,26.61,3.281287085,84
138600,,,,87,89.2,49.23,3.896503194,94
128995,,,,388.1,386.4,11.84,2.471483629,86
75712,,,,103.1,107.7,55.51,4.016563185,87
87810,,,,261.8,278.8,6.04,1.798404012,7
31848,,,,38,38.1,0.45,-0.798507696,99
28800,,,,168.4,174,89.71,4.496582246,4
84000,,,,81.6,81.6,35.17,3.560193446,96
212760,,,,182.9,191.4,67.85,4.217299386,8
385664,,,,217.5,217.8,41.31,3.721104601,2
75452,,,,99.3,99.3,23.11,3.140265424,77
111194,,,,175.5,182.8,29.37,3.379973745,11
194030,,,,138.7,143.6,45.8,3.824284091,33
65550,,,,110.9,115.4,118.8,4.777441407,55
174767,,,,169.8,172.8,58.73,4.07295067,20
170271,,,,113.7,117.5,36.54,3.598407551,71
188430,,,,93.1,95.6,25.23,3.228033763,84
144845,,,,154.8,159.2,21.21,3.054472769,9
143500,,,,139.3,142.2,34.33,3.536019607,43
74840,,,,155.5,159.4,51.65,3.944490196,24
1346974,,,,130.6,132.4,20.3,3.010620886,86
325000,,,,179.9,189.6,56.18,4.028560822,12
302439,,,,201.9,202,35.45,3.568123253,2
302439,,,,201.9,202,35.45,3.568123253,2
127932,,,,138.8,143,46.09,3.830596007,34
238180,,,,164.1,161.4,39.15,3.667400422,5
87233,,,,92.6,93,41.51,3.725934362,80
155381,,,,109.2,113.3,27.54,3.315639493,46
225356,,,,145.3,148.5,27.15,3.301377046,27
338000,,,,125,124.8,23.8,3.169685581,50
46000,,,,231.2,236,113.19,4.729067823,10
46000,,,,231.2,236,113.19,4.729067823,10
425421,,,,155.9,158.2,41.48,3.725211383,13
159887,,,,127.3,130.5,28.56,3.352007137,61
143004,,,,144.1,146.9,27.13,3.300640127,43
645178,,,,138.1,136.7,33.87,3.522529667,43
76807,,,,104.7,110.7,23.79,3.169265324,78
166217,,,,149.9,151.8,26.57,3.27978276,25
53558,,,,79.5,80.1,18.67,2.926917958,91
68294,,,,96.2,97.8,17.46,2.85991255,78
67241,,,,100,106.2,26.95,3.293983297,78
134696,,,,95.4,94.2,56.75,4.038655656,85
76800,,,,74.8,77.9,21.2,3.054001182,92
65994,,,,90.5,95.3,28.3,3.342861805,93
229312,,,,86.1,91.4,19.62,2.976549454,88
67589,,,,162.6,166.6,29.19,3.373826185,15
100333,,,,76.6,79.6,42.82,3.757005283,93
88998,,,,231.3,234.6,24.5,3.198673118,1
64055,,,,117.4,118.2,46.43,3.837945802,86
178206,,,,193.8,197.2,44.11,3.786686514,2
90462,,,,221.2,219,75.56,4.324927043,4
52286,,,,89.6,89.6,34.41,3.53834722,82
156849,,,,192.7,198.5,18.48,2.916689066,1
69880,,,,160.1,167.1,9.47,2.248128907,11
34920,,,,161.2,168,132.71,4.888166296,58
26574,,,,0.2,0.2,197.64,5.286447194,100
43871,,,,124.1,132.3,70.2,4.251348311,64
38520,,,,119.3,129.4,90.18,4.501807673,53
49799,,,,122.3,130.7,74.52,4.311067546,51
30750,,,,141.6,149.8,91.35,4.514698283,54
31950,,,,57.2,56.2,1.81,0.593326845,100
33060,,,,254.7,270.4,229.09,5.434114939,1
156849,,,,192.7,198.5,18.48,2.916689066,1
52959,,,,119.8,129.4,77.04,4.344324767,97
60165,,,,97.2,96.7,70.26,4.252202647,84
124956,,,,103.7,104.8,6.27,1.835776355,96
50890,,,,228.8,230.9,40.99,3.713328135,68
60626,,,,139.7,146.3,145.74,4.981824212,34
51345,,,,136.6,139.4,116.04,4.753934959,45
85704,,,,103.3,102.4,115.65,4.750568389,80
63396,,,,124.9,125.4,96.26,4.567052864,59
51676,,,,216.7,222.3,109.67,4.697475857,1
73308,,,,126.6,126,120.01,4.787575073,49
61770,,,,118.5,122.7,34.37,3.537184091,51
81500,,,,106.2,108.9,37.88,3.634423268,68
56200,,,,103.7,105.3,43.13,3.764218811,74
128901,,,,141.9,149.9,78.66,4.365134767,38
57400,,,,116,118.9,87.93,4.476541043,70
41250,,,,114.4,120.7,65.05,4.175156205,49
44200,,,,115.4,116.4,22.06,3.093766014,51
294543,,,,135.6,141.9,61.68,4.121959729,90
51475,,,,112.9,118.8,43.76,3.778720158,70
90000,,,,144.2,149.5,99.06,4.595725727,25
66936,,,,127.3,133.7,55.44,4.015301355,58
30662,,,,96.7,95.2,51.1,3.933784497,83
44750,,,,123.9,131.4,44.99,3.806440243,42
46818,,,,52.9,52.5,53.8,3.985273467,100
29220,,,,141.5,145.5,47.57,3.86220231,20
126482,,,,67.6,69.8,24.53,3.199896858,98
44555,,,,187,196.9,224.74,5.414944178,2
