Self-Reported Gross Floor Area (ft²),,,,Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Water Use Intensity (All Water Sources) (gal/ft²),log_Water Use Intensity (All Water Sources) (gal/ft²),score
90633,,,,80.1,79,194.72,5.271562629,97
58862,,,,267.5,269,6.39,1.854734268,24
58862,,,,267.5,269,6.39,1.854734268,24
70038,,,,126.5,128.2,15.77,2.758109401,23
177350,,,,133.7,139.1,3.02,1.105256831,26
461959,,,,193.5,191.8,67.25,4.208417018,4
104951,,,,167.4,170.7,42.67,3.753496097,6
78010,,,,140,139.9,40.68,3.705736571,78
893750,,,,282,283.2,74.13,4.305820309,14
51000,,,,220.8,225,4.76,1.560247668,41
96440,,,,135.5,141,33.64,3.515715835,92
246547,,,,164.9,166.1,28.13,3.336836623,85
270564,,,,127.7,129.9,13.85,2.628285233,92
370000,,,,124.8,127.2,15.01,2.708716646,93
246000,,,,156.2,155.8,25.11,3.223266173,85
515672,,,,127,128.2,22.35,3.106826321,90
58909,,,,134.6,138.9,10.86,2.385086315,76
69400,,,,141.7,143.3,57.59,4.053348942,70
1910503,,,,164.7,168.1,10.95,2.393339456,86
56000,,,,22,23.7,278.57,5.629669374,96
43000,,,,92.5,94.5,451.25,6.11202151,98
40000,,,,108.9,111.3,6.35,1.848454813,16
38000,,,,85.8,87.6,3.02,1.105256831,87
187000,,,,201.2,201.1,94.52,4.548811452,57
80000,,,,68.9,71.6,0.33,-1.108662625,66
187000,,,,201.2,201.1,94.52,4.548811452,57
502581,,,,518.3,524,10.09,2.311544834,96
83000,,,,64.8,64.8,163.18,5.094853886,100
63000,,,,138.6,142.6,113.69,4.733475446,39
64000,,,,56.7,57,143.51,4.966404719,100
78372,,,,74.8,74,100.8,4.613138356,98
62524,,,,57.6,57.1,74.08,4.30514559,100
299552,,,,170.9,172.5,26.97,3.294725137,83
50310,,,,151,157.3,122.9,4.811371017,48
57000,,,,100.4,103.8,61.13,4.113002744,76
37500,,,,100.1,103.5,85.39,4.447228998,65
28000,,,,117.3,121.8,77.07,4.3447141,48
42820,,,,137.8,148.7,60.58,4.103964806,48
64358,,,,53.8,56.8,75.91,4.329548428,98
68400,,,,87.5,92.2,49.54,3.902780424,84
54491,,,,143.1,154.7,71.29,4.266756065,19
91682,,,,96.3,97.5,29.37,3.379973745,78
91000,,,,106.2,112.8,76.92,4.342765921,82
802690,,,,184.2,187.5,13.92,2.633326655,81
130096,,,,153,154.9,65.32,4.179298268,58
350000,,,,194.4,192.8,42.1,3.740047741,42
66230,,,,150.2,156.3,92.84,4.530877581,48
97000,,,,129.4,131.8,106.77,4.670676988,74
498531,,,,132.6,132.6,26.26,3.268046869,91
67751,,,,259.2,255.4,46.39,3.837083919,40
168600,,,,52.6,52.6,1.55,0.438254931,100
54756,,,,119.1,122.8,6.92,1.93441577,90
54756,,,,119.1,122.8,6.92,1.93441577,90
55000,,,,31.8,31.9,7.64,2.033397603,91
114500,,,,209.6,210.5,52.11,3.953356869,49
165000,,,,203.7,210.2,77.87,4.35504077,24
1811610,,,,274.8,279.9,30.06,3.403195384,57
31430,,,,103,108.4,119.44,4.782814153,71
426287,,,,125.6,126,12,2.48490665,89
624631,,,,160.7,161.9,10.33,2.335052283,72
38150,,,,17.6,17.7,45.87,3.825811309,100
153821,,,,99.8,100,30.39,3.414113607,95
152439,,,,102.4,103.8,14.93,2.703372612,95
79050,,,,219.8,222,93.35,4.53635587,49
67500,,,,111.8,117.8,18.88,2.938103161,84
145000,,,,101.2,105.2,29.22,3.374853406,84
105846,,,,106.4,109.6,61.12,4.112839145,75
71550,,,,102.6,106.8,25.4,3.234749174,57
85900,,,,216.2,222.8,16.82,2.822568655,28
85900,,,,216.2,222.8,16.82,2.822568655,28
202618,,,,89.1,92.2,67.48,4.211831258,91
93170,,,,126.2,129.7,0.96,-0.040821995,61
75548,,,,60.7,62.7,49.32,3.898329678,99
46667,,,,133.1,139.5,92.93,4.531846522,42
276663,,,,61.8,61.8,69.47,4.240895005,100
50535,,,,86.3,89.7,39.66,3.680343123,85
62459,,,,79,84.6,55.51,4.016563185,96
31221,,,,103.3,107.1,22.4,3.109060959,71
80000,,,,124.8,131.8,43.1,3.763522997,67
111854,,,,171.6,179.6,30.86,3.429460847,5
30850,,,,131.2,138.4,90.57,4.506123032,46
39400,,,,164,171.5,58.62,4.071075935,2
39261,,,,101.8,107,45.58,3.819469024,82
43500,,,,124.3,128.5,117.12,4.76319905,56
57600,,,,4.7,4.7,47.65,3.86388263,100
107000,,,,119.5,123.6,4.13,1.418277407,10
89013,,,,212.9,217.1,60.75,4.106767082,65
129520,,,,168,171,0.3,-1.203972804,82
249000,,,,131.2,130.2,21.44,3.065258336,93
83268,,,,132.8,137.1,70.37,4.253767036,54
60402,,,,155.3,166.4,81.13,4.396052806,36
54572,,,,123.6,128.4,66.96,4.204095426,66
84801,,,,139.2,146.6,65.19,4.177306083,54
52221,,,,102.7,108.9,57.11,4.044979233,87
65057,,,,161.5,170.2,84.59,4.437816056,29
53965,,,,124.2,131.3,47.82,3.867443962,65
53000,,,,47.5,53.1,6.32,1.843719208,71
65763,,,,85.6,94.2,112.74,4.725084283,87
59375,,,,94.9,101.7,48315.32,10.78550397,77
25760,,,,159.9,159.9,93.18,4.534533106,8
39220,,,,176.7,198.5,130.95,4.874815571,4
52630,,,,159.2,161.8,40.76,3.707701208,9
107120,,,,112.4,118.4,38.22,3.643358939,74
107869,,,,117.2,123.4,41.92,3.73576304,65
77863,,,,89.1,93.9,33.89,3.523119986,81
77980,,,,105.2,109.8,42.67,3.753496097,68
615000,,,,139.5,141.6,25.25,3.228826156,94
145000,,,,106.1,108,22.94,3.132882112,98
237000,,,,150.8,154.4,40.62,3.704260556,82
95006,,,,20.5,20.8,71.69,4.272351268,100
54500,,,,292.1,288.1,31.09,3.436886224,22
10120,,,,63.6,64.2,81.38,4.399129543,100
105000,,,,101.1,106.1,63.48,4.150724896,76
62881,,,,119.3,124.3,95.82,4.562471431,65
65730,,,,119.4,123.8,51.01,3.932021692,75
60200,,,,140.9,145.8,2180.56,7.687337004,62
72486,,,,108.6,113.8,54.21,3.992865393,70
69960,,,,126.3,132.9,49.11,3.89406268,53
72486,,,,108.7,114.5,34.56,3.542696944,70
79659,,,,135.3,141.3,88.52,4.483228515,49
85404,,,,132.9,138.9,115.98,4.753417762,54
126529,,,,305.4,308.5,73.34,4.295106163,42
280358,,,,124.4,130.4,44.84,3.803100598,71
280358,,,,112.6,111.8,34.61,3.544142658,83
280358,,,,119.7,125.6,37.16,3.615232914,76
280358,,,,123.2,129.6,38.17,3.642049867,73
280358,,,,124.3,130.7,52.4,3.958906591,71
140230,,,,166,167.7,13.01,2.565718293,78
233100,,,,204,202.4,37.95,3.636269504,3
886807,,,,152.4,154.1,46.33,3.835789699,17
204923,,,,125.1,128.8,10.37,2.338917022,93
58700,,,,199.5,202.3,7.44,2.006870849,14
121817,,,,135.9,138.4,10.26,2.32825284,92
217368,,,,136.3,139.6,36.34,3.592919063,38
108880,,,,336.3,336.7,12.49,2.524928324,6
142851,,,,311.3,315.5,107.57,4.678141798,2
63600,,,,149.5,155.6,77.16,4.345881188,14
124800,,,,96.4,100.6,69.19,4.236856344,75
58000,,,,139.9,150.9,66.25,4.193435465,21
57000,,,,147.8,147.3,78.17,4.358885942,15
57000,,,,147.7,156.9,57.48,4.051437061,15
66600,,,,112.8,118.1,50.45,3.920982747,53
64800,,,,144.2,144.3,77.3,4.347693956,17
40500,,,,178.4,178.3,78.05,4.357349647,3
697548,,,,211.9,212.8,13.59,2.609334228,74
735174,,,,173,177.2,23.36,3.151025158,83
57000,,,,104.6,105.2,9.44,2.24495598,94
690287,,,,248.2,250.2,28.91,3.364187556,57
67500,,,,110.8,120.7,149.67,5.008432871,55
54430,,,,99.6,99.6,144.02,4.969952179,71
51780,,,,98.4,104.3,119.45,4.782897874,73
52200,,,,93.8,102.2,90.43,4.504576071,78
60000,,,,111.3,123.4,131.77,4.881057979,55
67500,,,,110.8,120.7,149.67,5.008432871,55
54430,,,,99.6,99.6,144.02,4.969952179,71
51780,,,,98.4,104.3,119.45,4.782897874,73
52200,,,,93.8,102.2,90.43,4.504576071,78
60000,,,,111.3,123.4,131.77,4.881057979,55
41170,,,,106.6,115.8,80.91,4.393337426,85
46182,,,,105,112.4,104.18,4.646120172,91
46182,,,,109.8,119.3,131.37,4.878017769,87
43932,,,,114.6,123.2,109.15,4.692723083,80
232272,,,,87.6,90.5,47.3,3.856510295,80
104449,,,,147.4,154.2,97.75,4.582413199,19
89046,,,,87.3,91.9,71.94,4.275832438,81
201824,,,,130,139.4,54.26,3.993787307,32
275000,,,,58.6,61.8,43.9,3.78191432,99
50000,,,,58.8,58.4,7.9,2.066862759,100
115847,,,,90.4,95.8,27.57,3.316728225,82
86000,,,,107,113.9,135.46,4.908676394,60
88500,,,,131.1,145.4,0.47,-0.755022584,36
83000,,,,64.8,64.8,163.18,5.094853886,100
63000,,,,138.6,142.6,113.69,4.733475446,39
64000,,,,56.7,57,143.51,4.966404719,100
78372,,,,74.8,74,100.8,4.613138356,98
62524,,,,57.6,57.1,74.08,4.30514559,100
88500,,,,131.1,145.4,0.47,-0.755022584,36
52575,,,,250.7,255.3,94.09,4.544251771,56
121147,,,,170.3,179.1,173.79,5.157847674,66
54568,,,,188,197.6,100.99,4.615021502,51
97387,,,,73.4,78.4,0.94,-0.061875404,98
51000,,,,139.7,143.3,86.65,4.461877016,32
568459,,,,195.4,196.8,21.03,3.04594999,82
396239,,,,197.5,197.5,28.83,3.361416512,78
51000,,,,139.7,143.3,86.65,4.461877016,32
598058,,,,190.7,197.5,12.43,2.520112906,83
293966,,,,285.9,288.3,72.23,4.279855472,13
262051,,,,244.5,249,70.44,4.254761284,41
71656,,,,22.4,24.3,0.67,-0.400477567,67
115274,,,,9.5,11.2,0.75,-0.287682072,100
58350,,,,21.7,21.7,0.48,-0.733969175,76
71965,,,,10,11.2,0.26,-1.347073648,100
34320,,,,126.3,125.3,75.33,4.321878462,54
102304,,,,146,147.2,12.46,2.522523513,80
187893,,,,306.9,306.3,104.78,4.651862914,19
125630,,,,169.1,170.2,17.39,2.855895328,85
275892,,,,54.6,54.4,22.36,3.107273648,96
476000,,,,169.8,174.1,14.94,2.70404218,85
64000,,,,114.5,113.4,22.06,3.093766014,94
40003,,,,127.7,132.2,31.45,3.448398983,84
476000,,,,169.8,174.1,14.94,2.70404218,85
479349,,,,175,177.3,12.07,2.490723035,79
56876,,,,201.5,206.3,21.71,3.077772984,2
58700,,,,152.5,156.8,32.61,3.48461899,2
818729,,,,179.4,182.9,15.39,2.733717948,81
670212,,,,129.5,130.6,15.68,2.752386015,88
455058,,,,182.1,184.7,14.66,2.685122696,75
2851447,,,,178.6,182.8,32.74,3.488597572,86
1866766,,,,292.4,293.9,41.19,3.718195508,46
659245,,,,194.5,196.5,18.3,2.90690106,80
70296,,,,148.4,156.8,129.67,4.864992762,37
72000,,,,220.9,227.3,7792.21,8.960879796,1
80000,,,,172.7,183,51.96,3.950474192,3
53660,,,,57.2,62.7,0,2.142,63
60376,,,,54.7,58.7,0.02,-3.912023005,67
57000,,,,104.6,105.2,19.22,2.955951404,94
55300,,,,150.8,158.8,80.18,4.384274107,33
420972,,,,205,207.7,20.26,3.008648499,76
55300,,,,150.8,158.8,80.18,4.384274107,33
533902,,,,188.4,192.7,31.85,3.461037382,78
66874,,,,134.6,139.1,79.3,4.373238129,34
1086572,,,,152.9,157,20.32,3.011605623,87
38758,,,,150.5,154.3,57.13,4.045329373,24
31500,,,,104,103.4,89.74,4.496916601,88
43950,,,,91.8,97.9,51.4,3.939638172,85
153816,,,,165.8,167.5,9.82,2.284421122,91
170000,,,,145.7,148.3,11.22,2.4176979,44
66000,,,,142.9,148.8,2.11,0.746687947,34
30000,,,,97,97.1,6.08,1.805004696,33
227685,,,,225.6,225.9,40.91,3.711374532,77
140000,,,,198.9,201.1,15.62,2.748552144,91
52560,,,,104.7,112.6,70.98,4.262398147,85
79494,,,,85.6,90.8,65.76,4.186011751,89
263139,,,,149.5,150.3,12.23,2.50389195,91
1390556,,,,213.7,215,17.26,2.848391686,80
110000,,,,130,135.3,20.76,3.033028058,90
164609,,,,130,133.4,11.44,2.437115986,91
571246,,,,181.6,182.1,35.64,3.573468603,89
57820,,,,204.1,206,34.75,3.548179572,55
95401,,,,110.3,114.4,83.99,4.430697744,73
654067,,,,184,183.6,12.4,2.517696473,88
91000,,,,154.9,163,78.36,4.361313593,19
78000,,,,112.4,119.2,37.1,3.61361697,59
60000,,,,153.2,158.6,72.45,4.282896669,37
115000,,,,132.7,137.7,66.71,4.200354867,72
538969,,,,213.1,214.8,18.92,2.940219564,62
69285,,,,190.3,195.8,113.43,4.731185907,14
405951,,,,79.8,81.8,64.45,4.165889729,99
93964,,,,100.1,107.3,28.16,3.337902531,84
93964,,,,105.9,112.7,29.93,3.398861322,79
47662,,,,121,128.2,43.25,3.766997233,82
93258,,,,114.6,117.7,41.28,3.720378121,24
68112,,,,104.4,110,37.07,3.612808017,86
61380,,,,107.7,112.1,34.5,3.540959324,79
164340,,,,96.3,100.6,41.57,3.727378753,79
77972,,,,125.5,132.6,52.55,3.961765097,65
60749,,,,111,116.7,62.91,4.141705134,51
73700,,,,89.4,93.7,29.6,3.387774361,88
57596,,,,99,102.1,49.21,3.896096855,88
89720,,,,127.3,133.3,56.32,4.031049712,45
74097,,,,106.8,109.7,30.27,3.410157123,58
109121,,,,173.9,181.9,33.97,3.525477782,5
189362,,,,141.2,142.9,8.64,2.156402583,89
238000,,,,269.5,276.1,38.74,3.656872658,45
70200,,,,61.9,67.7,43.7,3.777348102,100
56388,,,,76.4,81.8,89.66,4.496024739,97
75600,,,,67.7,73.9,50.98,3.931433399,99
90618,,,,80.1,87.1,85.26,4.445705411,96
61634,,,,46.1,51.1,20.8,3.034952987,100
676308,,,,106,111.1,29.21,3.374511116,77
67889,,,,120,123.3,0.84,-0.174353387,97
129835,,,,143.9,142.7,40.76,3.707701208,83
298152,,,,146,146.6,26.92,3.292869505,92
39003,,,,88.8,88.9,61,4.110873864,97
55411,,,,222.9,228.3,71.46,4.269137853,65
70800,,,,103.8,112.4,131.01,4.875273656,75
58500,,,,195.1,192.6,41.74,3.731459902,70
90000,,,,134.6,133.2,22.33,3.105931066,84
47534,,,,65.5,73.8,39.3,3.671224519,95
444293,,,,216.3,217.9,14.74,2.690564887,71
155827,,,,189.9,189.4,20.34,3.012589391,75
71475,,,,135.3,141.5,128.61,4.856784569,33
56036,,,,140.5,140.4,15.57,2.745345986,44
81763,,,,117.9,116.3,20.47,3.0189604,93
28200,,,,174.2,178.2,91.15,4.512506501,4
45360,,,,137,139.9,68.48,4.226541732,22
37600,,,,144.4,148.9,57.36,4.049347196,19
210043,,,,178.2,180.6,45.44,3.816392774,11
90000,,,,162,163.5,3.26,1.181727195,7
126533,,,,28.4,29.7,0.74,-0.301105093,93
51200,,,,94.5,100.5,46.29,3.834925955,94
27830,,,,256.5,256.5,0,2.142,29
40066,,,,201.8,204.7,11.46,2.438862711,47
57640,,,,141.7,141.7,9.44,2.24495598,80
68310,,,,167.1,165.9,79.5,4.375757022,17
68178,,,,127.8,127.2,77.67,4.352469082,62
455765,,,,147.5,146.7,28.45,3.348148161,5
420582,,,,150,151.6,0.03,-3.506557897,88
351590,,,,176.7,178.3,40.79,3.708436953,80
157000,,,,194.2,191.8,18.57,2.921547375,79
66000,,,,57.7,57.7,2.57,0.943905899,35
542940,,,,212.2,220.3,72.1,4.278054044,24
141567,,,,162.9,167.2,58.05,4.061304708,71
138000,,,,198,199.6,51.65,3.944490196,72
219730,,,,142.1,144.2,20.17,3.004196352,89
350000,,,,222.1,220.9,67.45,4.211386583,59
1165000,,,,218.7,222,62.36,4.132924044,40
1825000,,,,278.8,285.4,50.09,3.913821387,26
205473,,,,197,201.5,45.12,3.809325607,55
205729,,,,163.8,165.1,19.17,2.953346557,80
142000,,,,132.4,134,21.52,3.068982735,92
87106,,,,228.4,233.5,117.29,4.764649501,52
95006,,,,20.5,20.8,71.69,4.272351268,100
28726,,,,82.4,82.5,75.88,4.329153145,95
97387,,,,73.4,78.4,0.94,-0.061875404,98
41000,,,,193.9,200.1,48.89,3.889572877,3
373416,,,,147.5,150.3,38.1,3.640214282,35
473935,,,,172.5,176,71.26,4.26633516,28
238729,,,,134.9,136.9,0,2.142,62
521247,,,,141.4,147.1,0,2.142,41
125776,,,,24.8,24.2,23.95,3.175968324,100
105000,,,,101.1,106.1,63.48,4.150724896,76
65730,,,,119.4,123.8,51.01,3.932021692,75
62881,,,,119.3,124.3,95.82,4.562471431,65
60200,,,,140.9,145.8,2180.56,7.687337004,62
72486,,,,108.6,113.8,54.21,3.992865393,70
69960,,,,126.3,132.9,49.11,3.89406268,53
72486,,,,108.7,114.5,34.56,3.542696944,70
79659,,,,135.3,141.3,88.52,4.483228515,49
85404,,,,132.9,138.9,115.98,4.753417762,54
65763,,,,85.6,94.2,112.74,4.725084283,87
59375,,,,94.9,101.7,48315.32,10.78550397,77
25760,,,,159.9,159.9,93.18,4.534533106,8
39220,,,,176.7,198.5,130.95,4.874815571,4
52630,,,,159.2,161.8,40.76,3.707701208,9
99258,,,,49.2,50,54.96,4.006605648,100
80860,,,,236.1,239.4,50.75,3.926911618,21
148598,,,,81.9,87.8,108.38,4.68564357,97
314780,,,,220.9,219.9,15.88,2.765060456,78
368974,,,,257.2,256,13.78,2.623218266,67
432310,,,,235.1,235.6,14.7,2.687847494,89
66080,,,,111.5,118.4,0.94,-0.061875404,100
120000,,,,191.1,196,25.15,3.224857897,69
75000,,,,180.2,180.5,36.97,3.610106773,67
75588,,,,157.6,162.6,10.03,2.305580602,81
127866,,,,43.1,43,13.97,2.636912173,100
487156,,,,252.1,259.3,80.36,4.38651654,42
76888,,,,81.1,88.4,0,2.142,84
105000,,,,128.3,129.6,190,5.247024072,87
27000,,,,116.3,126.9,43.68,3.776890331,93
41000,,,,239.4,238.9,444.8,6.097624743,1
87810,,,,162.3,163.9,6.04,1.798404012,23
114000,,,,85,89.6,50.28,3.917607384,94
110000,,,,101.6,107.1,107.07,4.673482826,82
70000,,,,113.5,120.9,62.62,4.137084716,60
125000,,,,152.4,150.9,47.58,3.862412505,27
92000,,,,100.9,110.2,36.83,3.60631273,83
59000,,,,121.3,120.7,59.93,4.093177214,55
112000,,,,144.9,149.2,56.39,4.032291838,42
84000,,,,95.4,100.3,23.88,3.173041289,83
52000,,,,147.5,152.5,61.53,4.119524861,53
32316,,,,126.8,126.2,64.62,4.16852396,75
49453,,,,119.7,122.7,35.85,3.579343567,61
29553,,,,228.2,243.7,84.58,4.437697832,2
45629,,,,144.3,148.6,37.1,3.61361697,51
57800,,,,111,116.8,28.87,3.362802994,70
143800,,,,139.7,146.7,44.52,3.795938526,43
360400,,,,51.6,52.6,5.45,1.695615609,90
2346193,,,,200.5,201.3,11.22,2.4176979,89
2497025,,,,209,215,26,3.258096538,83
1592125,,,,260.1,261.3,13.56,2.607124283,79
1071012,,,,281.5,283,1.31,0.270027137,82
1537287,,,,235.1,241.6,19.1,2.949688335,77
1485610,,,,230.3,232.3,9.66,2.267993648,76
